Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00127347422154827,0.000275797702284139,0.0598068239928352,0,0,0,0.55933351813654,0.00243933528887446,-5.15754595188692E-06,2.11921036731776E-05,0.00236549564791421,5.49858817377574E-06,0.00264045684061397,0,0,0,0,0,0,package://Talon.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Talon.SLDASM/meshes/base_link.STL,,连杆①-1,base_coor,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,5.44479186672421E-06,0.0161907562410961,-0.091527579055999,0,0,0,0.845104940114152,0.00579532246535955,-3.09713355311223E-07,2.12348670960708E-07,0.00621844074604144,-0.000546693141475931,0.00232883741177242,0,0,0,0,0,0,package://Talon.SLDASM/meshes/link_1.STL,1,1,1,1,0,0,0,0,0,0,package://Talon.SLDASM/meshes/link_1.STL,,连杆②-1,coor_1,axis_1,joint_1,revolute,0,0,0.348,0,0,-0.62055,base_link,0,0,1,0,0,0,0,,,,,,,,
link_2,1.66574878335788E-05,0.116094766238578,0.0287616433338841,0,0,0,0.515454769584672,0.00352100730718542,5.36538274245949E-07,-3.84307913161956E-08,0.00136412829021354,0.000845111192834095,0.00355070752934383,0,0,0,0,0,0,package://Talon.SLDASM/meshes/link_2.STL,1,1,1,1,0,0,0,0,0,0,package://Talon.SLDASM/meshes/link_2.STL,,连杆③-1,coor_2,axis_2,joint_2,revolute,0,0,0,1.5708,0,0,link_1,0,0,1,0,0,0,0,,,,,,,,
link_3,7.50185086869355E-07,0.0156223133980361,-0.0799387235317394,0,0,0,0.603649790178088,0.00324453049474891,5.59611911206187E-08,7.00314670889335E-08,0.00336963330811861,-0.000406826192004225,0.00118273569484039,0,0,0,0,0,0,package://Talon.SLDASM/meshes/link_3.STL,1,1,1,1,0,0,0,0,0,0,package://Talon.SLDASM/meshes/link_3.STL,,连杆④-1,coor_3,axis_3,joint_3,revolute,0,0.41,0,-1.5708,0.011605,0,link_2,0,0,1,0,0,0,0,,,,,,,,
link_4,3.76592711375011E-06,0.119836460910615,0.022796377853045,0,0,0,0.426413769114997,0.00237641440779408,2.06404797240597E-08,1.63114159939062E-07,0.000942849983094583,0.000465633594148769,0.00243321523139839,0,0,0,0,0,0,package://Talon.SLDASM/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://Talon.SLDASM/meshes/link_4.STL,,连杆⑤-1,coor_4,axis_4,joint_4,revolute,0,0,0,1.5708,0,0,link_3,0,0,1,0,0,0,0,,,,,,,,
link_5,1.54601336331414E-05,0.0138685764271078,-0.0863362386693725,0,0,0,0.538781113488762,0.0026343631954417,5.89218155516632E-07,5.4374587441694E-07,0.00271456640279973,-0.000293139957982096,0.000981814667417963,0,0,0,0,0,0,package://Talon.SLDASM/meshes/link_5.STL,1,1,1,1,0,0,0,0,0,0,package://Talon.SLDASM/meshes/link_5.STL,,连杆⑥-1,coor_5,axis_5,joint_5,revolute,0,0.401,0,1.5708,1.0623,3.1416,link_4,0,0,1,0,0,0,0,,,,,,,,
link_6,1.13755728261694E-05,0.0905759671078148,0.0205192342166667,0,0,0,0.241804638076589,0.000835731978799874,2.34899818336643E-07,4.72123863857083E-09,0.000380396414560217,0.000181114388077025,0.000835718319527267,0,0,0,0,0,0,package://Talon.SLDASM/meshes/link_6.STL,1,1,1,1,0,0,0,0,0,0,package://Talon.SLDASM/meshes/link_6.STL,,连杆⑦-1,coor_6,axis_6,joint_6,revolute,0,0,0,1.5708,-0.013718,0,link_5,0,0,1,0,0,0,0,,,,,,,,
link_7,-1.16496429690416E-09,1.93639311254993E-05,-0.0197746025777925,0,0,0,0.134516937122384,0.000111729359893965,-9.45576223623909E-11,-6.23059423956938E-11,0.000111665195597899,-1.79818625937677E-08,0.000182060691429154,0,0,0,0,0,0,package://Talon.SLDASM/meshes/link_7.STL,1,1,1,1,0,0,0,0,0,0,package://Talon.SLDASM/meshes/link_7.STL,,连杆⑧-1,coor_7,axis_7,joint_7,revolute,0,0.23,0,1.5708,-0.44986,3.1416,link_6,0,0,-1,0,0,0,0,,,,,,,,
